"","number","snippet","type_of_material"
"8343",8343,"800 a month desert, less than 15% apprehended; confinement period cut","Article"
"8344",8344,"REVAL, Nov. 25.--Demands by the Esthonian Government that the Northwestern Russian Government cease activities within they boundaries of Esthonia have been acceded to, according to information in official circles here.","Article"
"8345",8345,"tablet to war veterans unveiled","Article"
"8346",8346,"Phillippe, Dora de, songs","Article"
"8347",8347,"LONDON, Nov. 24.--Sir Auckland Geddes astounded the House of Commons today by announcing that household coal will be reduced 10 shillings a ton, and that bunker coal for coastwise traffic will be brought down to ""the industrial level,"" a reduction...","Article"
"8348",8348,"NEW HAVEN, Conn., Nov. 24.--Radical, although by no means revolutionary, changes in Yale's football system will be demanded by undergraduates before another playing season begins. The movement has already been started, and a series of conferences ...","Article"
"8349",8349,"Asks that all contributions be made solely through Soc of Friends","Article"
"8350",8350,"acquitted of murder of wife","Article"
"8351",8351,"sues F. K. M. Rehn to recover painting stolen from him in 1903","Article"
"8352",8352,"The efforts of the Brooklyn City Railroad Company to collect second fares on the Flatbush Avenue line at Foster Avenue yesterday contrary to the order of Public Service Commissioner Nixon resultted in so much turmoil that the police from four prec...","Article"
"8353",8353,"In protest against the reported massacre of 100,000 Jews in Ukrainia, thousands of Jewish residents of New York observed a ""Day of Sorrow"" yester  day. A solemn procession, estimated to include 25,000 men, women, and children,...","Article"
"8354",8354,"BERLIN, (via Paris,) Nov. 23.--In another cable an attempt will be made to draw conclusions from information gathered in Berlin; but the entries made in my note book will show a cross-section of conditions and perhaps give readers a better idea th...","Article"
"8355",8355,"death","Obituary"
"8356",8356,"death","Article"
"8357",8357,"","Article"
"8358",8358,"","Article"
"8359",8359,"WHITE MARSH VALLEY, Pa., Nov. 24.--Headed by Coach Bob Folwell and his staff, including Bill Hollenbach, Dr. Charles Wharton, and Allie Miller, twenty-three members of the University of Pennsylvania football team arrived here Date this evening and...","Article"
"8360",8360,"","Article"
"8361",8361,"","Article"
"8362",8362,"","Article"
"8363",8363,"MEXICO CITY, 26.--The Mexican Government has answered the American State Department's demand in regard to Consular Agent Jenkins, and has refused to release him.  ","Front Page"
"8364",8364,"The demand for stocks was of the reluctant order during much of yesterday's market session. and this factor appeared to be seized upon by professional traders as a medium for acquiring profits through short sales. Probably buying was under the pre...","Article"
"8365",8365,"Lynch, Joe, vs Wolfe","Article"
"8366",8366,"All-Russian Govt announces it will fight until it is victorious","Article"
"8367",8367,"LONDON, Nov. 24.--To a small and distinguished gathering at Lord GlenConner's residence tonight, Sir Oliver Lodge explained the theory of Einstein, whose predictions were recently partially confirmed by the solar expedition and given to the world ...","Article"
"8368",8368,"Novel action to punish a corporation and its officers for alleged income tax fraud was taken yesterday when Supreme Court Justice Delehanty granted an application by Attorney General Newton for permission to bring suit to dissolve Miller, Tompkins...","Article"
"8369",8369,"Wilson, (Bishop) L. B., urges reconsideration","Article"
"8370",8370,"DUBLIN, Nov. 26.--Widespread suppression of Sinn Fein and other organizations in Irelahd has been ordered by the Government.","Article"
"8371",8371,"WASHINGTON, Nov. 26.--General Pershing will leave Washington on Dec. 3 at midnight for a tour of the military posts and works throughout the country which will take him into nearly every State of the Union.","Article"
"8372",8372,"Annual meeting; officers elected","Article"
"8373",8373,"operators offer pay increase to get strikers back","Article"
"8374",8374,"final plurality","Article"
"8375",8375,"Further investigation yesterday of the operations of the gang who looted Wall Street houses of $1,000,000 of securities brought to light a deception on several officials of the Consolidated Stock Exchage by Norman S. Bowles, partner of Sullivan  C...","Article"
"8376",8376,"As an aftermath to the recent reorganization of the Jersey City Fire Department by Director of Public Safety  Charles F.X. O'Brien, who charged that the department had become demoralized since the men joined a union...","Article"
"8377",8377,"Delegates delay signing","Front Page"
"8378",8378,"Dry majority in election on amendment to State constitution","Article"
"8379",8379,"CANTON, Ohio, Nov. 26.--Charles E. Poorman, Democrat, today was deprived of his title of Mayor after serving within one month of the expiration of his twoyear term, following the order for his removal by Governor Cox for failure to maintain order ...","Article"
"8380",8380,"Whatever decision may be reached in the coal wage controversy, the only test by which its merit can be tried is the production of coal. There is no known method of compelling some hundreds of thousands of men to work against their wills.","Editorial"
"8381",8381,"Higginson, H. L.","Article"
"8382",8382,"President P.A.S. Franklin, head of the International Mercantile Marine Company, issued a statement yesterday afternoon denying the cabled report from Liverpool that control of the company had been definitely placed in the hands of the British. It ...","Article"
"8383",8383,"Greenspan Bros arrested by Justice Dept agents in N. J., held for hearing","Article"
"8384",8384,"plans to erect ""barrack hotels"" on battlefields","Article"
"8385",8385,"","Article"
"8386",8386,"With the formidable Brown game only three days away, Coaoh Fred Dawson abandoned his usual custom and staged a light scrimmage at yesterday's practice on South Field. Another hard workout, the last of the season for the Blue and White squad, will ...","Article"
"8387",8387,"","Article"
"8388",8388,"The cotton market yesterday was helped by a variety of causes. The Liverpool market was surprisingly strong, opening at a net gain of 15 to 25 points and continuing the advance to closing time, when it stood at gains over Friday's closing of 35 to...","Article"
"8389",8389,"","Article"
"8390",8390,"ANNAPOLIS, Md., Nov. 26.--Secret football practice was held at the Naval Academy again this afternoon and a long session devoted to kicking, signal and formation work. The midshipmen will practice here tomorrow morning and on Friday on the Polo Gr...","Article"
"8391",8391,"","Article"
"8392",8392,"Professor Erastus M. Palmer, Chairman of the Faculty Athletic Committee of the College of the City of New York, stated yesterday that the committee had as yet made no decision on the petition for the reinstatement of football presented by the stud...","Article"
"8393",8393,"","Birth Notice"
"8394",8394,"WASHINGTON, Nov. 20--The Government, through Fuel Administrator Garfield, granted the coal miners of the central competitive district tonight an average wage increase of 14 per cent., and at the same time announced that the price of coal to the pu...","Front Page"
"8395",8395,"WEST POINT, N.Y., Nov. 25.--Although a driving rainstorm made treacherous going for the Army eleven today. the coaches sent the big team through a terrific scrimmage with the scrubs.","Article"
"8396",8396,"The complaint against John Raymond MacDonough, paying teller of the Irving National Bank, which was made on Nov. 11 in connection with an alleged","Article"
"8397",8397,"PARIS Nov. 25.--The putting into effect of the Versailles treaty has been postponed. The Allies will not be able to deposit their ratifications next Monday because the Germans have refused, at least for the present, to sign the protocol and have w...","Front Page"
"8398",8398,"R. V. Goldblatt and H. Smith arrested","Article"
"8399",8399,"""au revoir"" message as ship leaves Halifax","Article"
"8400",8400,"Cornellus J. Sullivan of the Garden City Golf Club will again direct the affairs of the Metropolitan Golf Association for next year, according to the selections made by the Nominating Com-- mittee and announced yesterday. Sullivan again heads the ...","Article"
"8401",8401,"NEW ORLEANS, La., Nov. 26.-- Everything is in readiness for the opening of the Winter racing season, which will begin at Jefferson Park tomorrow, and which promises to be one of the best meetings held here in years. Many horses from all sections o...","Article"
"8402",8402,"The Standing Committee of the Association of Railway Executives after an all-day session came out yesterday for protective emergency legislation which will insure the roads of a continuation of the payment to them of standard returns until final l...","Article"
"8403",8403,"says 500,000 men are minimum necessary to army, correcting interpretation of report","Article"
"8404",8404,"doubts revival of German industries, in speech to Dutch Treat Club","Article"
"8405",8405,"ed, Their trip seems unnecessary","Article"
"8406",8406,"Games","Article"
"8407",8407,"Statement","Article"
"8408",8408,"Lucchese, Josephine, songs","Article"
"8409",8409,"Harvard Unit thanked by King George","Article"
"8410",8410,"Suggestion that permanent home be established in each borough as war memorial","Article"
"8411",8411,"LONDON, Nov. 25.--Earl Curzon, the Foreign Secretary, speaking in the House of Lords today, said that Egypt neither was able to protect her own frontiers from aggression nor to guarantee a stable internal Government.","Article"
"8412",8412,"As regards the ""sweating"" of machines, Lord LEVERHULME'S advice is more apposite to his countrymen than to us in America. Until quite recent times it was the English practice to guard mechanical equipment with the utmost care and to...","Editorial"
"8413",8413,"trustees of Mrs. H. Cutting allege that Metropolitan Museum depreciates value of property in its immediate vicinity","Article"
"8414",8414,"Asked by Armenian Mission to U. S.","Article"
"8415",8415,"Championship tourney","Article"
"8416",8416,"An International Chamber of Commerce, to be made up of financial, commercial, and industrial organizations throughout the world, has been developed, it was announced yesterday, as a","Article"
"8417",8417,"","Article"
"8418",8418,"","Article"
"8419",8419,"","Article"
"8420",8420,"","Article"
"8421",8421,"","Front Page"
"8422",8422,"","Article"
"8423",8423,"","Article"
"8424",8424,"","Article"
"8425",8425,"","Article"
"8426",8426,"death and career","Article"
"8427",8427,"Miriam Guy, 2:09 , which raced on the Grand Circuit last season, brought the highest price paid yesterday at the third day of the Old Glory Sale at Madison square Garden. This four-year-old bay mare was purchased by F.W. Bridgeman of London, Ohio,...","Article"
"8428",8428,"","Article"
"8429",8429,"","Marriage Announcement"
"8430",8430,"The North German Society of Queens and the Plattdeutsche Verein of Long Island City did not give the operetta, ""Der Weisse Hirsch,"" in Hellingers Hall, Astorta, last evening.","Article"
"8431",8431,"ruling by Court of Appeals under which attorneys may at once have their appeal added to existing calendar without waiting for a new one to be made up","Article"
"8432",8432,"The nominations for the Metropolitan Handicap, the Suburban, the Toboggan Handicap and the Jockey Club Stakes, all of which will be run at Belmont Park next season, were announced last night by A. MeL. Earlocker, Racing Secretary. The lists for al...","Article"
"8433",8433,"buys Grill Bros' factory at Evansville, Ind.; other plant acquired from Quality Cigar Co","Article"
"8434",8434,"Campaign expenditures","Article"
"8435",8435,"BERLIN, Nov. 25--The political parties are only a few months away from a  general election, and the Pan-German agitation must be largely regarded as a manoeuvring--clumsy enough, in all conscience, and provocative--for position. As for the alleged...","Front Page"
"8436",8436,"appeals to Pres Wilson to make recommendations in next message to Congress to aid negroes","Article"
"8437",8437,"Maryland Judge denies application to stop betting at Bowie track","Article"
"8438",8438,"WASHINGTON, Nov. 25.--Interest payments on American loans to the Allies may be deferred ""until the war reaction passes it was said today at the Treasury. Negotiations to this end","Article"
"8439",8439,"Anniversary of St. Catherine's Day, upon which girls who pass 25th birthday without being married are decorated by younger girls","Article"
"8440",8440,"WASHINGTON, Nov. 25.--In the opinion of the few Republican Senators at the Capitol today, there will be no agreement on the Versailles treaty at the next session of Congress, which begins on Monday, unless the Administration","Article"
"8441",8441,"Vs Guaranty Trust Co","Article"
"8442",8442,"The automatic telephone will soon be in general use in this city and in other parts of the State. The New York...  Telephone Company announced yesterday the new system was being put in at Dunkirk; Ithaca, and Geneva, and that the work was expected...","Article"
"8443",8443,"","Article"
"8444",8444,"The will of Charles H. Steinway, President of Steinway  Sons, plano manufacturers, which was flied for probate yesterday, disposes of an estate estimated at upward of $5,000,000. The will cuts off Mr. Steinway's brother Henry W.T. Steinway, from a...","Article"
"8445",8445,"Flickinger, Elmer, inherits $169,000 from woman he saved in runaway accident","Article"
"8446",8446,"Kansas City Post adopts resolution protesting against natl conference being held in St. Louis in D","Article"
"8447",8447,"BOSTON Nov. 26.--Senator Lodge, who is here during the recess of Congress, declared today that the Senate would yet pass the Peace Treaty with the reservations attached.","Article"
"8448",8448,"","Article"
"8449",8449,"ALBANY, N.Y., Nov.25--The Irwin Untermyer Campaign Committee of New York City today filed with Secretary of State Hugo a statement of its election expenses during Untermyer's candidacy for Justice of the Supreme Court.","Article"
"8450",8450,"Sassoon, (Sir) F., and Countess of Rocksavage collections at Christie's","Article"
"8451",8451,"WASHINGTON, Nov. 24.--An appointment has been made for Senator Hitchcock, acting leader of the Senate minority, to confer with President Wilson over the treaty situation Saturday, when Mr. Hitchcock will return to Washington from Nebraska. At that...","Front Page"
"8452",8452,"Plot to kill Venizelos and to overthrow monarchy discovered in Athens","Front Page"
"8453",8453,"","Article"
"8454",8454,"","Article"
"8455",8455,"","Article"
"8456",8456,"","Article"
"8457",8457,"Some plan for supplying the necessary credits to Europe so that she may rehabilitate her railroads is necessary and imperative, according to W.H. Woodin, President of the American Car and Foundry Company, who has just returned from a trip through ...","Article"
"8458",8458,"","Article"
"8459",8459,"","Article"
"8460",8460,"","Article"
"8461",8461,"","Article"
"8462",8462,"State-wide prosecution is planned","Front Page"
"8463",8463,"Francis Whiting Halsey, author, editor, historian and lecturer, died yesterday morning at 6:30 o'clock at the Park Hospital, after an illness of about a month. Wr. Halsey was 68 years old. The funeral will be held from his late  residence, 146 Wes...","Article"
"8464",8464,"Republic officially recognized by Vatican","Article"
"8465",8465,"receives souvenir from Prince of Wales","Article"
"8466",8466,"Pending legal determination of the issue the Brooklyn City Railroad Company yesterday afternoon abandoned Its efforts to collect a second fare on the Flatbush Avenue line at Foster Avenue.","Article"
"8467",8467,"MEXICO CITY, Nov. 26.--A telegram from Governor Cabrera of the State of Puebla to Carranza says:  ""Last night several citizens of Malacatepec testified that they saw Jenkins in company with Cordoba and Uben arrive in town in an automobile on the d...","Article"
"8468",8468,"Samuel Vauclain, President of the Baldwin Locomotive Works, yesterday told the members of the Bond Club, at their regular monthly luncheon, that the country has less to worry about than many persons seem to realize.","Article"
"8469",8469,"","Article"
"8470",8470,"","Article"
"8471",8471,"","Article"
"8472",8472,"","Article"
"8473",8473,"","Article"
"8474",8474,"","Article"
"8475",8475,"","Article"
"8476",8476,"","Article"
"8477",8477,"Although the price of turkeys is sky high, sugar scarce and precious, and only a few will escape the regulations of wartime prohibition, New York City is going to try to enjoy a real oldfashioned Thanksgiving festival today.  ","Article"
"8478",8478,"","Article"
"8479",8479,"","Article"
"8480",8480,"","Article"
"8481",8481,"PARIS, Nov. 26.--Three hundred Americans celebrated Thanksgiving this evening by dining together at the Hotel Qual d'Orsey, some of their distin  guished French friends joining them. Alexandre Millerand, Governor of Alsace, had accepted an invitat...","Article"
"8482",8482,"district council election overthrows old officers","Article"
"8483",8483,"classed with Ludendorff by leading Swiss-German paper","Article"
"8484",8484,"Thanksgiving luncheon","Article"
"8485",8485,"Richard S.Hawes, President of the American Bankers Association, last night issued the following statement:  ""A National Committee on European Finance has been organized, all of the elements Interested having participated in a conference whose purp...","Article"
"8486",8486,"Australia is offering wonderful Inducements to new settlers who wish to take up lard claims; according to J.M. Hunter, who is now in New York, having stopped, here on his way to London, where, he will take up his duties as Agent General for Queens...","Article"
"8487",8487,"father, W. E. Benjamin, files suit to collect payment on notes indorsed before her marriage","Article"
"8488",8488,"Mayor Poorman removed from office because of inaction during strike","Front Page"
"8489",8489,"estate","Article"
"8490",8490,"Autumn tourney","Article"
"8491",8491,"ambulances from hospitals to be benefited help drive","Article"
"8492",8492,"Postmaster Gen Burleson favors bills for 1c rate on local lrs","Article"
"8493",8493,"Drive for $14,000,000 will be launched","Article"
"8494",8494,"retail dealers say Spring clothes will cost more, due to excess profits tax","Article"
"8495",8495,"LONDON, Nov. 26.--Considerable improvement in the Adriatic situation is reported here as a result of conversations in Paris between British, French, Italian and Jugoslav representatives. The latest indications are there is a possibility of a compr...","Article"
"8496",8496,"Founders send loving cup with Sir H. Brittain to be presented to U S Army and Navy","Article"
"8497",8497,"Coroner reserves decision after inquest","Article"
"8498",8498,"RIGA, Nov. 23--An exceedingly painful impression has been created here by a wireless from the Inter-Allied Commission presided over by General Niessel instructing the Lettish Army to cease pursuit of the fleeing Germans and also bearing Indication...","Front Page"
"8499",8499,"Mrs R. P. Stokes testifies to Grand Jury","Article"
"8500",8500,"appraisal of her personal property","Article"
"8501",8501,"Illinois Watch Co and Sangamon Electric Co forced to suspend work","Article"
"8502",8502,"appointed Gen Sec of Amer Bankers' Assoc","Article"
"8503",8503,"LONDON, Nov. 25--The communiques of both the Russian Soviet Government and General Denikin, received by wireless today, claim a victory at Katulinskai, in the Kamyshin region on the Lower Volga, each side asserting that","Article"
"8504",8504,"","Article"
"8505",8505,"","Article"
"8506",8506,"","Article"
"8507",8507,"","Article"
"8508",8508,"","Article"
"8509",8509,"","Article"
"8510",8510,"","Marriage Announcement"
"8511",8511,"","Article"
"8512",8512,"","Front Page"
"8513",8513,"","Article"
"8514",8514,"ATLANTIC CITY, N.J., Nov. 26.-- Cornell received its final touches here today for the annual football classic with Pennsylvania tomorrow on Franklin Field. The big Red eleven, at its best form of any time this season, is confident of a good showin...","Article"
"8515",8515,"","Article"
"8516",8516,"","Article"
"8517",8517,"stable boys lose strike","Article"
"8518",8518,"Judge Morton announces he will end receivership","Article"
"8519",8519,"Dinner","Article"
"8520",8520,"conference fails; city and car co now await court action","Article"
"8521",8521,"RIBA, Nov. 24.--Lettland's great problem today, now that the Germans have been expelled, is what to do with the Balts. The Balts are descendants of Germanic invaders, the famous ""Knights of the Sword,"" who conquered Courland 700 years ago.","Front Page"
"8522",8522,"BERLIN, Nov. 24. (Associated Press).-- Theodor Wolff, editor in chief of the Berliner Tageblatt, and Georg Bernhard, political writer of the Vossische Zeitung, today warn their readers","Article"
"8523",8523,"CHICAGO, Nov. 24.--The new National Labor Party was formally created today at the convention being held here for that purpose. Plans or financing it include a contribution of one day's pay by each member next year and the levying of a monthly tax ...","Front Page"
"8524",8524,"The three sons of Colonel Roosevelt, Theodore, Kermit, and Archibald, together with their brother-in-law, Dr. Richard Derby, and their cousin, Philip Roosevelt, have organized a company to operate a chain of coffee houses in New York City similar ...","Article"
"8525",8525,"PARIS, Nov. 24.--The Supreme Council decided today to send a note to Germany asking when she intends to sign the protocol and thereby permit the Versailles Treaty to be put into effect. The Allies hope to gain from Germany's reply an indication of...","Article"
"8526",8526,"W. F. Kreves escorted to train in Elmira by members of Amer Legion when he tries to speak in protest against imprisonment of Debs after Mayor had refused him permission to do so","Article"
"8527",8527,"W. Somerset Maugnam, the Englishman who had already contributed to New York's delight so extraordinary a novel as ""The Moon and Sixpence"" and so engaging a farce as ""Too Many Husbands,"" made another contribution last evening in the form of a new t...","Article"
"8528",8528,"feels safe from allied demand","Article"
"8529",8529,"WASHINGTON, Nov. 24.--A new wage and working agreement was signed late today between the Railroad Administration and officials of the Brotherhood of Maintenance of Way Employes and Railway Track Laborers. While the demands of the union were not fu...","Front Page"
"8530",8530,"WASHINGTON, NOV. 24.--Property of American citizens in German territory valued at more than $100,000,000, protected for the United States by the treaty with the German Government, may be confiscated by Germany in the event of failure by the Senate...","Article"
"8531",8531,"LONDON, Thursday, Nov. 27.--The refusal of the House of Commons yesterday by a vote of 169 to 56 to permit J.H. Thomas to introduce a bill enabling a Peer to surrender his peerage is a summary decision rarely exercised. If such a measure had becom...","Article"
"8532",8532,"Hughes, Chas C.","Article"
"8533",8533,"WASHINGTON, Nov. 25.--Contrary to popular belief, gas is regarded by responsible American Army officials as one of the most humane weapons of war, and announcement to that effect","Article"
"8534",8534,"dispute over strike may cause Triple Alliance to split","Article"
"8535",8535,"A total of 7,500 tickets will be distributed for the New York State amateru championship boxing tournament which will be held under the joint auspices of the Metropolitan A.A.U. and the 71st Regiment Athletic Association at the 71st, Regiment Armo...","Article"
"8536",8536,"Moussorgsky's Russian opera ""Boris Godunoff"" was performed last night at the Metropolitan Opera House, when it entered on its eighth season there. When it was first produced in New York there was some doubt as to whether it, would be a lasting ite...","Article"
"8537",8537,"Will sell house (Morgan gift) to Assoc for Improving Condition of the Poor","Article"
"8538",8538,"Settlement of differences over the treaty of peace to permit its ratification as soon as possible after the Senate reconvenes, was urged in a statement Issued by the League to Enforce Peace at the conclusion of a special meeting of the Executive C...","Article"
"8539",8539,"receives animals and birds from N Y Zoological Soc; honors New Yorkers","Article"
"8540",8540,"Wharton quits as coach","Article"
"8541",8541,"After winning several of his preceding matches by an eyelash, Charles M. Bull, Jr., of the Squash Club, captured the highest honors in the invitation squash tennis tournament at the Yale Club yesterday afternoon, coming from behind to defeat Ander...","Article"
"8542",8542,"It became known only yesterday that on Saturday night burglars broke into the apartment of Frank A. Skelton, on the tenth floor of the Bretton Hall Hotel, at Eighty-sixth Street and Broadway, and stole about thirty diamond rings, watches, necklace...","Article"
"8543",8543,"Paris press strikers lose","Article"
"8544",8544,"PARIS, Nov. 26.--That Premier Clemenceau should go to Washington and appeal to Americans in the interest of Europe is the suggestion put forward today by the editor of the Paris Midi. His article, appearing in La Presse de Paris, says:","Front Page"
"8545",8545,"Inviting the bituminous coal operators ""to a showdown,"" William G. McAdoo, former Secretary of the Treasury, yesterday made public a telegram he had sent to Dr. Harry R. Garfield, Federal Fuel Administrator, urging that the pay demands of the coal...","Article"
"8546",8546,"Maynard, (Lt) B. W., will start this week for San Diego from Mineola on one-stop flight","Article"
"8547",8547,"LONDON, Nov. 25.-""Confusion worse confounded"" is today's summary of public opinion, on the Government's extraordinary handling of the coal situation. On only one point does there seem to be any general agreement, and that","Article"
"8548",8548,"HALIFAX, N.S., Nov. 24.--The shricking of steamer sirens and factory whistles greeted the Prince of Wales, who arrived in port at 8 o'clock this morning on the British battle cruiser Renown. A salute of twenty-one guns was fired from a battery at ...","Article"
"8549",8549,"Former Secretary McADOO intervenes in the coal wage negotiations with the suggestion that whatever is added to the wages of the miners ought to come altogether out of the operators' profits. No doubt he is right in many cases, and he speaks...","Editorial"
"8550",8550,"WASHINGTON, Nov. 24.--What were understood to be the maximum of concessions which Italy was willing to make in her effort to reach an accord with the United States on the Adriatic problem, involving the settlement of the Flume question, are said t...","Front Page"
"8551",8551,"WASHINGTON, Nov. 26.--Three New Yorkers were today designated to take the West Point entrance examination to  be held the third Tuesday in February, 1920. They are:","Article"
"8552",8552,"denies report that he asked French Govt for a pension; is embarrassed financially","Article"
"8553",8553,"Comparison of number of deaths in Oct of this year and last","Article"
"8554",8554,"gold footballs to be awarded to players","Article"
"8555",8555,"La Guardia, T., de, home robbed","Article"
"8556",8556,"State Bd of Public Utility Comrs in N. J. upholds increase","Article"
"8557",8557,"The American Society of Miniature Painters is holding its annual exhibition this year at the Arden Galleries. Taken as a whole it shows a","Article"
"8558",8558,"appointed Chairman of Military Com of Amer Legion","Article"
"8559",8559,"Secretary Harry Sparrow of the Yankees announced yesterday that it had bean practically decided that Manager Huggins would take the New York club to Jacksonville again next Spring to train. The club has been considering offers from California and ...","Article"
"8560",8560,"Will leave soon to formally open Canal","Article"
"8561",8561,"WASHINGTON, Nov. 25.--Democratic politicians protess to see in the telegram sent Fuel Administrator Garfield yesterday by ex-Secretary McAdoo to evidence of the intention of Mr. McAdoo to enter the lists as a candidate for the Democratic nominatio...","Article"
"8562",8562,"Lulek (Dr), Fery, songs","Article"
"8563",8563,"It is sincerely to be hoped that the report current in Washington that the State Department has rejected the final Italian proposals on the Adriatic question is incorrect.","Editorial"
"8564",8564,"ed commenting on hunger strike at Ellis Island","Article"
"8565",8565,"alleged information that organizers in Kan, are spreading anti-Amer propaganda and sympathy for Germany presented to Gov Allen and Atty Gen Hopkins","Article"
"8566",8566,"convention adjourns; conflicting views cause Non-Partisan League radical farmers, and dry delegates to quit; organization completed; declaration of principles; natl convention will be called next Summer to nominate candidates for President and Vic...","Article"
"8567",8567,"Russian Bolshevist Govt notifies Austrian Foreign Office that Austrian nobles and subjects in Russia will be held as hostages for security of Bela Kun and his associates","Article"
"8568",8568,"According to a sympathetic dispatch, Senator JAMES E. WATSON ""broke down the barrier of secrecy"" when he informed the members of the American Club of Indianapolis of a terrible danger overhanging this country.","Editorial"
"8569",8569,"death","Obituary"
"8570",8570,"wife awarded temporary custody of children","Article"
"8571",8571,"Some of the nation's hitherto most inconspicuous war heroes had their innings yesterday. These were the officers and men of the United States Navy's mine sweeping force, assembled here after the successful completion of their dangerous task of mak...","Article"
"8572",8572,"elects C. D. Walcott associate member","Article"
"8573",8573,"LAREDO, Tex., Nov. 24.--The Mexican Government has decided to answer the note from the American State Department regarding the kidnapping and arrest of Consul William O. Jenkins, according to information received today from Mexico City.","Front Page"
"8574",8574,"A suggestion that the people of New York City should go on a ration in candy was made yesterday by Arthur Williams, Federal Food Administrator, Mr. Williams pointed out that the price of candy was becoming extremely high, and at the same time, he ...","Article"
"8575",8575,"","Article"
"8576",8576,"","Article"
"8577",8577,"","Article"
"8578",8578,"","Article"
"8579",8579,"","Article"
"8580",8580,"","Article"
"8581",8581,"","Article"
"8582",8582,"Yesterday's cotton market made a further good recovery, advancing, 55 to 83 points at the day's high, and closing at net gains of 18 points for July, to 45 points for December and January.  ","Article"
"8583",8583,"","Article"
"8584",8584,"","Article"
"8585",8585,"Fred Fulton, Minnesota aspirant for the heavyweight championship now carried around by Jack Dempsey, arrived here yesterday from England to begin a campaign which he expects will result in his securing another bout against Demnaev. this time for t...","Article"
"8586",8586,"","Article"
"8587",8587,"","Article"
"8588",8588,"","Article"
"8589",8589,"","Article"
"8590",8590,"","Article"
"8591",8591,"","Article"
"8592",8592,"","Article"
"8593",8593,"","Front Page"
"8594",8594,"","Article"
"8595",8595,"","Article"
"8596",8596,"","Article"
"8597",8597,"","Obituary"
"8598",8598,"6 arrested and copies of the Blood Clot seized after fight","Article"
"8599",8599,"""The Rose of China,"" which had its metropolitan premiere at the Lyric Theatre last night before one of the most vociferous of audiences, is musical comedy daintily mounted, Frequently","Article"
"8600",8600,"stockholders ratify plan to increase capital stock","Article"
"8601",8601,"BERLIN, Nov. 25.--Is Germany going to have another revolution? Has she a great secret army ready to attempt another Battle of Lelpsic? Messages published here in the newspapers suggest such questions and embody the fears that are being felt abroad...","Article"
"8602",8602,"death and career","Obituary"
"8603",8603,"Gardner elected captain","Article"
"8604",8604,"CLEVELAND, Ohio, Nov. 25.--When informed tonight of reports in Chicago that the national leaders of the four great railroad brotherhoods at a secret session had seriously considered the demands of many local unions that a general strike of all rai...","Front Page"
"8605",8605,"British Govt will introduce bill in Commons providing for suspension of such trial in special criminal cases and leaving determination of cases to special coms","Article"
"8606",8606,"Sauerstrom, Adolph","Article"
"8607",8607,"stocks sold at public auction to C. D. Barney & Co, by Alien Property Custodian","Article"
"8608",8608,"Arthur Williams, Federal Food Adminstrator, said yesterday that he was  puzzled by the apparent sugar shortage because 45,000,000 pounds was refined for the eastern section of the country last week, an allowance of one pound per capita. He asserte...","Article"
"8609",8609,"Thanksgiving message","Article"
"8610",8610,"CHICAGO, Nov. 25--Early this morning robbers looted two fur stores of  stock valued at $13, 700, carting it away in trucks. The wholesale plundering of","Article"
"8611",8611,"Mayor Hylan is accused of being ""not interested in the ascertainment or statement of the truth,"" and of treating the entire transit situation ""on the basis of politics,"" in a statement issued last night by Lindley M. Garrison, receiver for the Bro...","Article"
"8612",8612,"ANNAPOLIS, Md., Nov. 24.--Little is thought of around the Naval Academy this week except the game on Saturday at New York between the elevens of the Army and Navy, made more interesting than usual by the fact that they will meet for the first time...","Article"
"8613",8613,"","Article"
"8614",8614,"October production figures for the porphyry group of copper companies show little change over those for the preceding months with the exception of Utah, which shows a gain of about 1,300,000 pounds, as compared with","Article"
"8615",8615,"The annual Fall handicap squash tennis tournament of the Crescent Athletic Club began yesterday afternoon on the club courts in Brooklyn. N.F. Torrance, the present club champion, was not entered, but otherwise the draw represented the best talent...","Article"
"8616",8616,"executors of estate file bond of $8,900,000","Article"
"8617",8617,"confirms in Commons Germany's refusal to co-operate with Allies in blockade of Russia","Article"
"8618",8618,"Daubenschmidt (Mrs), Dorothy; H. Ahlers and J. Roggerman held","Article"
"8619",8619,"Trade Comm witnesses attack control of Cal. Associated Raisin Co, say price is excessive","Article"
"8620",8620,"British Govt expects trial to begin in London early in 1920","Front Page"
"8621",8621,"The Directors of the General Motors Corporation yesterday recommended to stockholders a proposal for subdividing the old shares on a ten-to-one basis and called a special meeting for Dec. 30 to consider the plan. This proposal was first suggested ...","Article"
"8622",8622,"Frank Canapary, the Columbia Captain who was ousted from the squad two weeks ago for insubordination, and Eddie Quigley. who has been missing","Article"
"8623",8623,"lr on defeat of ratification of Peace Treaty with Germany in U. S. Sen","Letter"
"8624",8624,"arrested on charge of misappropriating $500 from Bloomingdale Bros","Article"
"8625",8625,"PARIS, Nov. 24.--In previous cables I have given facts and impressions as jotted down in a notebook during my visit to Germany. Owing to the disor","Article"
"8626",8626,"sentenced to die, obtains delay, praises U. S. at trial","Article"
"8627",8627,"WASHINGTON Nov. 26.--The International Labor Conference provided today for equal representation by the European countries and the new countries on a commission to consider regulations for workers migrating from one State to another and the protect...","Article"
"8628",8628,"Mitchell, Pinkey, vs Coogan","Article"
"8629",8629,"","Article"
"8630",8630,"","Article"
"8631",8631,"","Article"
